"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Triturus pygmaeus",-4.832007,37.957767,17.14621925354,13.0507707595825,41.4612922668457,651.529479980469,35.1132507324219,3.63625001907349,31.4770011901855,10.4575834274292,25.4244594573975,25.5792503356934,9.68516635894775,540,87,3,61.9400520324707,239,26,30,211
"Triturus pygmaeus",-4.938018,38.077892,15.4254379272461,12.6634998321533,40.3871765136719,654.093505859375,33.6492500305176,2.29399991035461,31.3552494049072,8.84112548828125,23.8448333740234,23.9252510070801,8.01525020599365,582,92,4,60.0741882324219,251,30,32,227
"Triturus pygmaeus",-7.410962,37.289405,17.6617374420166,10.7391242980957,43.2155647277832,503.860961914062,31.6684341430664,6.81830215454102,24.8501319885254,12.8345708847046,23.9753761291504,24.2626876831055,11.9488945007324,502,94,2,70.2143783569336,243,18,23,219
"Triturus pygmaeus",-6.18423,39.828564,15.8809270858765,10.6269378662109,37.0115356445312,640.3798828125,32.6030006408691,3.89050006866455,28.7125015258789,9.48312473297119,24.1820831298828,24.2168750762939,8.66512489318848,551,83,7,53.5716552734375,231,42,42,207
"Triturus pygmaeus",-7.085342,38.709175,16.0929069519043,12.5185203552246,44.4502410888672,555.930969238281,32.234748840332,4.07175016403198,28.1629981994629,10.4693756103516,23.0429573059082,23.2822914123535,9.6711254119873,548,81,5,54.3821754455566,222,33,38,208
"Triturus pygmaeus",-6.18423,39.828234,15.8809270858765,10.6269378662109,37.0115356445312,640.3798828125,32.6030006408691,3.89050006866455,28.7125015258789,9.48312473297119,24.1820831298828,24.2168750762939,8.66512489318848,551,83,7,53.5716552734375,231,42,42,207
"Triturus pygmaeus",-8.62537,39.601953,15.4260101318359,9.32910442352295,41.9927253723145,455.051544189453,27.9282493591309,5.71224975585938,22.2159996032715,10.9053335189819,21.0185832977295,21.3042087554932,10.1149997711182,808,117,8,57.541431427002,337,46,52,330
"Triturus pygmaeus",-8.499857,39.590506,16.072135925293,10.0240621566772,43.3449516296387,462.991088867188,29.0405006408691,5.91424989700317,23.1262512207031,11.4042911529541,21.7432079315186,22.0233345031738,10.637791633606,768,112,7,57.6834487915039,320,42,49,314
"Triturus pygmaeus",-9.323804,38.839355,15.5954580307007,7.4647912979126,40.3633155822754,384.751800537109,25.8540000915527,7.3600001335144,18.4939994812012,11.8416662216187,20.2026252746582,20.6371250152588,11.1135416030884,737,115,7,61.5916976928711,325,37,44,307
"Triturus pygmaeus",-7.732188,37.276595,16.324405670166,10.4206876754761,41.7562408447266,509.916748046875,30.7910003662109,5.83500003814697,24.9560012817383,11.6013336181641,22.8019580841064,23.0861663818359,10.6532917022705,579,110,2,70.0494232177734,277,20,26,257
